"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"France";"SFR (FR)";"7";"2"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Belgium";"PROXIMUS (BE)";"2";"1"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Bolivia (Republic of)";"TELECEL (BO)";"3";"2"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"380";"122"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"55";"26"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"8";"3"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Portugal";"TMN (PT)";"3";"2"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"100";"50"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"418";"132"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Brazil";"VIVO (BR)";"6";"5"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Andorra (Principality of)";"MOBILAND (AD)";"1";"1"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"27";"8"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"5";"4"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Netherlands (Kingdom of the)";"KPN (NL)";"2";"1"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"20";"7"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Canada";"BELL MOBILITY (CA)";"9";"3"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"2";"2"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Dominican Republic";"TRILOGY (DO)";"9";"3"
"2017/01/05 15:00:00";"MOVISTAR (PE)";"Russian Federation";"MTS (RU)";"1";"1"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"19";"4"
"2017/01/05 16:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"112";"20"
