"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"4";"4"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Canada";"BELL MOBILITY (CA)";"1";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Mexico";"NEXTEL (MX)";"1";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Portugal";"TMN (PT)";"2";"2"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"5";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"13";"2"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"SWISSCOM (CH)";"1";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Italy";"TIM (IT)";"3";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Brazil";"VIVO (BR)";"3";"3"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"4";"4"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Korea (Republic of)";"SK TELECOM (KR)";"2";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"7";"3"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Singapore (Republic of)";"STARHUB (SG)";"6";"2"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"13";"9"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"El Salvador (Republic of)";"MOVISTAR (SV)";"2";"2"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"SWISSCOM (CH)";"3";"2"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"3";"3"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Japan";"DOCOMO (JP)";"1";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"France";"BOUYGUES TELECOM (FR)";"11";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"1";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"United Arab Emirates";"ETISALAT (AE)";"2";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Paraguay (Republic of)";"TELECEL (PY)";"2";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"43";"22"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Italy";"VODAFONE (IT)";"7";"5"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"97";"23"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"France";"SFR (FR)";"1";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"26";"6"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"1";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"35";"15"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"China (People's Republic of)";"CHINA MOBILE (CN)";"1";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"5";"2"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"11";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Italy";"VODAFONE (IT)";"3";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"105";"22"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Brazil";"VIVO (BR)";"1";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"25";"5"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Colombia";"MOVISTAR (CO)";"112";"22"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Singapore (Republic of)";"STARHUB (SG)";"1";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Singapore (Republic of)";"SINGTEL SINGTEL-MOBILELINK (SG)";"1";"1"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"10";"2"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"3";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Italy";"WIND (IT)";"3";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Spain";"VODAFONE (ES)";"1";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Colombia";"MOVISTAR (CO)";"126";"21"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Non Terrestrial (NT)";"MCP (NT)";"2";"1"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Paraguay (Republic of)";"TELECEL (PY)";"3";"2"
"2016/12/13 08:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"8";"2"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"7";"5"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"6";"5"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"10";"3"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"17";"10"
"2016/12/13 09:00:00";"MOVISTAR (PE)";"China (People's Republic of)";"CHINA MOBILE (CN)";"1";"1"
