"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"78";"17"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"8";"6"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Canada";"TELUS (CA)";"1";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Czech Republic";"O2 (CZ)";"6";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Hongkong, China";"CSL LTD (HK)";"1";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"61";"36"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"5";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"7";"5"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"30";"7"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"1";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Roaming HUB";"ROAMING HUB (RH)";"4";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Dominican Republic";"ORANGE (DO)";"9";"4"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"84";"46"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"China (People's Republic of)";"CHINA MOBILE (CN)";"6";"2"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"22";"5"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Mexico";"IUSACELL (MX)";"1";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"19";"6"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"2";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Colombia";"MOVISTAR (CO)";"148";"31"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"United Arab Emirates";"ETISALAT (AE)";"1";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"4";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"50";"23"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"20";"5"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Italy";"WIND (IT)";"4";"4"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Brazil";"VIVO (BR)";"1";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Colombia";"MOVISTAR (CO)";"162";"29"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Costa Rica";"MOVISTAR (CR)";"3";"2"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Czech Republic";"O2 (CZ)";"6";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Qatar (State of)";"VODAFONE (QA)";"2";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"34";"9"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"SWISSCOM (CH)";"1";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"5";"5"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"78";"16"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Canada";"BELL MOBILITY (CA)";"1";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"73";"16"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Costa Rica";"MOVISTAR (CR)";"2";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"India (Republic of)";"BHARTI AIRTEL (Nueva Delhi) (IN)";"2";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"32";"9"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Singapore (Republic of)";"STARHUB (SG)";"3";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"11";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"51";"15"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Czech Republic";"VODAFONE (CZ)";"3";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"91";"38"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"El Salvador (Republic of)";"MOVISTAR (SV)";"1";"1"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"5";"2"
"2016/12/12 02:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"11";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"France";"ORANGE F (FR)";"1";"1"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"7";"5"
"2016/12/12 03:00:00";"MOVISTAR (PE)";"Dominican Republic";"ORANGE (DO)";"1";"1"
