"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Costa Rica";"MOVISTAR (CR)";"5";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"ORANGE (CH)";"2";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"35";"7"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Mozambique (Republic of)";"MOVITEL (MZ)";"8";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"France";"SFR (FR)";"2";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Italy";"VODAFONE (IT)";"49";"8"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"11";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Dominican Republic";"TRILOGY (DO)";"3";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"3";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Bolivia (Republic of)";"NUEVATEL (BO)";"8";"5"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"SUNRISE (CH)";"2";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"India (Republic of)";"VEMSL VODAFONE  (DELHI) (IN)";"2";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"14";"4"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Italy";"WIND (IT)";"1";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Canada";"BELL MOBILITY (CA)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"1";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Roaming HUB";"ROAMING HUB (RH)";"2";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"127";"31"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"ORANGE (CH)";"4";"3"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"2";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Ecuador";"CONECEL (EC)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Roaming HUB";"ROAMING HUB (RH)";"6";"4"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"15";"3"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Italy";"VODAFONE (IT)";"61";"4"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"E-PLUS (DE)";"2";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"204";"54"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"9";"8"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Austria";"T-MOBILE (AT)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Spain";"MOVISTAR (ES)";"157";"35"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"India (Republic of)";"VEMSL VODAFONE  (DELHI) (IN)";"4";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Israel (State of)";"ORANGE (IL)";"4";"3"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Canada";"BELL MOBILITY (CA)";"3";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"12";"3"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"12";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"France";"BOUYGUES TELECOM (FR)";"5";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Costa Rica";"MOVISTAR (CR)";"5";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Thailand";"AWN (TH)";"3";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"3";"3"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Luxembourg";"TANGO (LU)";"5";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Bolivia (Republic of)";"TELECEL (BO)";"5";"5"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"TELEKOM (DE)";"2";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"France";"BOUYGUES TELECOM (FR)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Bolivia (Republic of)";"NUEVATEL (BO)";"2";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"India (Republic of)";"BHARTI AIRTEL (Karnataka) (IN)";"2";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"5";"3"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Colombia";"MOVISTAR (CO)";"123";"25"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Brazil";"VIVO (BR)";"5";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"20";"17"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"15";"9"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Bolivia (Republic of)";"TELECEL (BO)";"1";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Italy";"WIND (IT)";"2";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"12";"9"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"1";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Czech Republic";"O2 (CZ)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Hongkong, China";"CSL LTD (HK)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Brazil";"VIVO BRATC (BR)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Singapore (Republic of)";"STARHUB (SG)";"1";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Colombia";"MOVISTAR (CO)";"77";"18"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"E-PLUS (DE)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"2";"2"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"France";"SFR (FR)";"2";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"3";"3"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"Singapore (Republic of)";"STARHUB (SG)";"2";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"11";"2"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Spain";"VODAFONE (ES)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"1";"1"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"180";"45"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"45";"9"
"2017/01/13 10:00:00";"MOVISTAR (PE)";"India (Republic of)";"BHARTI AIRTEL (Nueva Delhi) (IN)";"1";"1"
"2017/01/13 11:00:00";"MOVISTAR (PE)";"Canada";"TELUS (CA)";"2";"1"
