"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"4";"3"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Canada";"BELL MOBILITY (CA)";"1";"1"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Mexico";"NEXTEL (MX)";"2";"2"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"India (Republic of)";"VECL VODAFONE (MAHARASHTRA GOA) (IN)";"1";"1"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"157";"50"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"United States of America";"AT&T MOBILITY (US)";"67";"49"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"E-PLUS (DE)";"4";"2"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"SUNRISE (CH)";"1";"1"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"2";"2"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Italy";"TIM (IT)";"1";"1"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Japan";"DOCOMO (JP)";"8";"3"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Spain";"VODAFONE (ES)";"1";"1"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Canada";"BELL MOBILITY (CA)";"1";"1"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Mexico";"NEXTEL (MX)";"3";"3"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Austria";"T-MOBILE (AT)";"1";"1"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Jamaica";"DIGICEL (JM)";"2";"2"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Argentine Republic";"MOVISTAR (AR)";"15";"9"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"17";"4"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"E-PLUS (DE)";"8";"5"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Italy";"TIM (IT)";"1";"1"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Brazil";"VIVO (BR)";"7";"4"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"France";"SFR (FR)";"45";"5"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"France";"BOUYGUES TELECOM (FR)";"15";"4"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Mexico";"IUSACELL (MX)";"1";"1"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Mexico";"TELEFONICA MOVILES (MX)";"16";"7"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Austria";"T-MOBILE (AT)";"5";"2"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Austria";"H3G AUSTRIA (AT)";"1";"1"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"67";"16"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"10";"2"
"2016/12/29 10:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"46";"11"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Italy";"WIND (IT)";"6";"5"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Brazil";"VIVO BRATC (BR)";"1";"1"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Austria";"H3G AUSTRIA (AT)";"2";"1"
"2016/12/29 11:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"75";"16"
