"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2017/01/02 09:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"16";"4";"22210"
"2017/01/02 10:00:00";"India (Republic of)";"TATA DOCOMO (MUMBAI) (IN)";"MOVISTAR (PE)";"8";"1";"405039"
"2017/01/02 10:00:00";"Philippines (Republic of the)";"SMART (PH)";"MOVISTAR (PE)";"24";"15";"51503"
"2017/01/02 10:00:00";"Switzerland (Confederation of)";"SWISSCOM (CH)";"MOVISTAR (PE)";"9";"5";"22801"
"2017/01/02 09:00:00";"Slovak Republic";"MOVISTAR SLOVAKIA (SK)";"MOVISTAR (PE)";"2";"1";"23106"
"2017/01/02 10:00:00";"Egypt (Arab Republic of)";"ETISALAT MISR (EG)";"MOVISTAR (PE)";"1";"1";"60203"
"2017/01/02 10:00:00";"Ukraine";"KYIVSTAR (UA)";"MOVISTAR (PE)";"5";"1";"25503"
"2017/01/02 10:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"21";"14";"50501"
"2017/01/02 09:00:00";"Philippines (Republic of the)";"SMART (PH)";"MOVISTAR (PE)";"37";"8";"51503"
"2017/01/02 09:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"90";"21";"26203"
"2017/01/02 10:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"71";"9";"25099"
"2017/01/02 09:00:00";"United States of America";"VERIZON WIRELESS (US)";"MOVISTAR (PE)";"90";"42";"311480"
"2017/01/02 10:00:00";"New Zealand";"VODAFONE (NZ)";"MOVISTAR (PE)";"2";"1";"53001"
"2017/01/02 10:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"18";"16";"21403"
"2017/01/02 09:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"3";"2";"46002"
"2017/01/02 09:00:00";"Hongkong, China";"HKT PCCW (HK)";"MOVISTAR (PE)";"4";"1";"45419"
"2017/01/02 09:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"11";"5";"714020"
"2017/01/02 09:00:00";"Switzerland (Confederation of)";"SWISSCOM (CH)";"MOVISTAR (PE)";"6";"3";"22801"
"2017/01/02 10:00:00";"India (Republic of)";"VEL VODAFONE (MUMBAI) (IN)";"MOVISTAR (PE)";"19";"3";"40420"
"2017/01/02 10:00:00";"Brazil";"VIVO BRATC (BR)";"MOVISTAR (PE)";"38";"11";"72423"
"2017/01/02 09:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"MOVISTAR (PE)";"5";"3";"50502"
"2017/01/02 09:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"30";"8";"20610"
"2017/01/02 10:00:00";"Mexico";"NEXTEL (MX)";"MOVISTAR (PE)";"7";"2";"33409"
"2017/01/02 09:00:00";"Hongkong, China";"CHINA MOBILE (HK)";"MOVISTAR (PE)";"11";"2";"45412"
"2017/01/02 10:00:00";"Ukraine";"ASTELIT (UA)";"MOVISTAR (PE)";"13";"1";"25506"
"2017/01/02 09:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"211";"102";"73001"
