"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/12 09:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"922";"383";"73002"
"2016/12/12 09:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"1";"1";"22299"
"2016/12/12 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"64";"22";"72410"
"2016/12/12 09:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"1";"1";"24201"
"2016/12/12 09:00:00";"Sweden";"TELENOR (SE)";"MOVISTAR (PE)";"114";"94";"24008"
"2016/12/12 09:00:00";"Denmark";"HI3G 3 DK (DK)";"MOVISTAR (PE)";"1";"1";"23806"
"2016/12/12 09:00:00";"Ireland";"O2 (IE)";"MOVISTAR (PE)";"10";"1";"27202"
"2016/12/12 09:00:00";"Romania";"VODAFONE (RO)";"MOVISTAR (PE)";"2";"1";"22601"
"2016/12/12 09:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"28";"3";"732123"
"2016/12/12 09:00:00";"Russian Federation";"MEGAFON (RU)";"MOVISTAR (PE)";"1";"1";"25002"
"2016/12/12 09:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"2";"1";"25099"
"2016/12/12 09:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"5";"1";"40492"
"2016/12/12 09:00:00";"India (Republic of)";"VEMSL VODAFONE  (DELHI) (IN)";"MOVISTAR (PE)";"4";"1";"40411"
"2016/12/12 09:00:00";"India (Republic of)";"TATA DOCOMO (MAHARASHTRA) (IN)";"MOVISTAR (PE)";"7";"1";"405037"
"2016/12/12 09:00:00";"Hungary (Republic of)";"VODAFONE (HU)";"MOVISTAR (PE)";"3";"2";"21670"
"2016/12/12 09:00:00";"United States of America";"VERIZON WIRELESS (US)";"MOVISTAR (PE)";"74";"25";"311480"
"2016/12/12 09:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"29";"11";"46000"
"2016/12/12 09:00:00";"Philippines (Republic of the)";"SMART (PH)";"MOVISTAR (PE)";"32";"16";"51503"
"2016/12/12 10:00:00";"Aruba";"SETAR GSM (AW)";"MOVISTAR (PE)";"1";"1";"36301"
"2016/12/12 10:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"1036";"431";"73002"
"2016/12/12 10:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"6";"4";"22299"
"2016/12/12 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"107";"46";"72411"
"2016/12/12 10:00:00";"Brazil";"NEXTEL (BR)";"MOVISTAR (PE)";"2";"1";"72439"
"2016/12/12 10:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"14";"12";"302370"
"2016/12/12 10:00:00";"Mexico";"TELCEL (MX)";"MOVISTAR (PE)";"1";"1";"33402"
"2016/12/12 10:00:00";"Taiwan";"CHUNGHWA TELECOM (TW)";"MOVISTAR (PE)";"1";"1";"46692"
"2016/12/12 10:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"1";"1";"23203"
"2016/12/12 10:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"35";"13";"20610"
"2016/12/12 10:00:00";"Finland";"DNA FINLAND (FI)";"MOVISTAR (PE)";"3";"2";"24412"
