"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/11/11 09:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"18";"7";"22288"
"2016/11/11 09:00:00";"Brazil";"TIM (CENTRO SUL) (BR)";"MOVISTAR (PE)";"4";"1";"72404"
"2016/11/11 09:00:00";"Canada";"BELL MOBILITY (CA)";"MOVISTAR (PE)";"2";"2";"302610"
"2016/11/11 09:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"22";"10";"20810"
"2016/11/11 09:00:00";"Sweden";"TELENOR (SE)";"MOVISTAR (PE)";"132";"100";"24008"
"2016/11/11 09:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"3";"2";"23210"
"2016/11/11 09:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"29";"9";"20610"
"2016/11/11 09:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"9";"7";"20601"
"2016/11/11 09:00:00";"Denmark";"TDC MOBIL (DK)";"MOVISTAR (PE)";"7";"7";"23801"
"2016/11/11 09:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"477";"157";"74000"
"2016/11/11 09:00:00";"Romania";"VODAFONE (RO)";"MOVISTAR (PE)";"2";"1";"22601"
"2016/11/11 09:00:00";"Ukraine";"KYIVSTAR (UA)";"MOVISTAR (PE)";"10";"1";"25503"
"2016/11/11 09:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"90";"33";"732111"
"2016/11/11 09:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"9";"5";"26806"
"2016/11/11 09:00:00";"New Zealand";"TELECOM (NZ)";"MOVISTAR (PE)";"2";"1";"53005"
"2016/11/11 09:00:00";"Argentine Republic";"PERSONAL (AR)";"MOVISTAR (PE)";"606";"163";"72234"
"2016/11/11 09:00:00";"Russian Federation";"MEGAFON (RU)";"MOVISTAR (PE)";"2";"1";"25002"
"2016/11/11 09:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"14";"2";"40492"
"2016/11/11 09:00:00";"India (Republic of)";"BHARTI AIRTEL (Punjab) (IN)";"MOVISTAR (PE)";"15";"2";"40422"
"2016/11/11 09:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"11";"6";"714020"
"2016/11/11 09:00:00";"Poland (Republic of)";"P4 (PL)";"MOVISTAR (PE)";"15";"8";"26006"
"2016/11/11 09:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"116";"82";"73601"
"2016/11/11 09:00:00";"United States of America";"VERIZON WIRELESS (US)";"MOVISTAR (PE)";"43";"21";"311480"
"2016/11/11 09:00:00";"Netherlands (Kingdom of the)";"KPN (NL)";"MOVISTAR (PE)";"13";"8";"20408"
"2016/11/11 09:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"10";"6";"20416"
"2016/11/11 09:00:00";"Switzerland (Confederation of)";"ORANGE (CH)";"MOVISTAR (PE)";"4";"4";"22803"
"2016/11/11 09:00:00";"Switzerland (Confederation of)";"SWISSCOM (CH)";"MOVISTAR (PE)";"13";"10";"22801"
"2016/11/11 09:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"84";"13";"50501"
"2016/11/11 10:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"8";"4";"21405"
"2016/11/11 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"113";"42";"72406"
"2016/11/11 10:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"19";"7";"302220"
"2016/11/11 10:00:00";"Greece";"WIND HELLAS (GR)";"MOVISTAR (PE)";"2";"1";"20210"
"2016/11/11 10:00:00";"Mexico";"IUSACELL (MX)";"MOVISTAR (PE)";"2";"2";"334050"
"2016/11/11 10:00:00";"Taiwan";"CHUNGHWA TELECOM (TW)";"MOVISTAR (PE)";"2";"1";"46692"
"2016/11/11 10:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"2";"2";"20601"
"2016/11/11 10:00:00";"Ukraine";"ASTELIT (UA)";"MOVISTAR (PE)";"4";"2";"25506"
"2016/11/11 10:00:00";"Portugal";"OPTIMUS (PT)";"MOVISTAR (PE)";"1";"1";"26803"
"2016/11/11 10:00:00";"Czech Republic";"O2 (CZ)";"MOVISTAR (PE)";"6";"1";"23002"
"2016/11/11 10:00:00";"Hongkong, China";"SMARTONE (HK)";"MOVISTAR (PE)";"1";"1";"45406"
"2016/11/11 10:00:00";"United Arab Emirates";"ETISALAT (AE)";"MOVISTAR (PE)";"9";"2";"42402"
"2016/11/11 10:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"261";"77";"310410"
"2016/11/11 10:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"2";"1";"26203"
"2016/11/11 10:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"46";"17";"74807"
"2016/11/11 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"5";"3";"23420"
"2016/11/11 10:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"107";"22";"50501"
"2016/11/11 09:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"8";"3";"22299"
"2016/11/11 09:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"15";"10";"22201"
"2016/11/11 09:00:00";"Japan";"KDDI (JP)";"MOVISTAR (PE)";"1";"1";"44050"
"2016/11/11 09:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"15";"8";"44010"
"2016/11/11 09:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"27";"13";"21403"
"2016/11/11 09:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"6";"3";"302370"
"2016/11/11 09:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"203";"85";"20801"
"2016/11/11 09:00:00";"Guyana";"DIGICEL (GY)";"MOVISTAR (PE)";"2";"1";"73801"
"2016/11/11 09:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"2";"1";"24201"
"2016/11/11 09:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"15";"3";"23205"
"2016/11/11 09:00:00";"Colombia";"COMCEL (CO)";"MOVISTAR (PE)";"3";"2";"732101"
"2016/11/11 09:00:00";"Czech Republic";"O2 (CZ)";"MOVISTAR (PE)";"3";"3";"23002"
"2016/11/11 09:00:00";"Czech Republic";"VODAFONE (CZ)";"MOVISTAR (PE)";"4";"3";"23003"
"2016/11/11 09:00:00";"India (Republic of)";"AIRCEL DIGILINK (UP East) (IN)";"MOVISTAR (PE)";"2";"1";"40494"
"2016/11/11 09:00:00";"India (Republic of)";"VECL VODAFONE (MAHARASHTRA GOA) (IN)";"MOVISTAR (PE)";"5";"1";"40427"
"2016/11/11 09:00:00";"Hungary (Republic of)";"T-MOBILE (HU)";"MOVISTAR (PE)";"4";"2";"21630"
"2016/11/11 09:00:00";"Singapore (Republic of)";"SINGTEL SINGTEL-MOBILELINK (SG)";"MOVISTAR (PE)";"1";"1";"52501"
"2016/11/11 09:00:00";"Egypt (Arab Republic of)";"MOBINIL (EG)";"MOVISTAR (PE)";"1";"1";"60201"
"2016/11/11 09:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"36";"9";"74807"
"2016/11/11 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"MOVISTAR (PE)";"82";"27";"23410"
"2016/11/11 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"ORANGE (GB)";"MOVISTAR (PE)";"1";"1";"23433"
"2016/11/11 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"MOVISTAR (PE)";"2";"2";"23430"
"2016/11/11 09:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"MOVISTAR (PE)";"3";"3";"50502"
"2016/11/11 10:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"823";"298";"73002"
"2016/11/11 10:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"12";"8";"22210"
"2016/11/11 10:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"5";"4";"44010"
"2016/11/11 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"155";"47";"72410"
"2016/11/11 10:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"266";"124";"20801"
"2016/11/11 10:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"75";"26";"334030"
"2016/11/11 10:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"7";"5";"20610"
"2016/11/11 10:00:00";"Romania";"VODAFONE (RO)";"MOVISTAR (PE)";"7";"4";"22601"
"2016/11/11 10:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"35";"11";"732123"
"2016/11/11 10:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"79";"28";"732111"
"2016/11/11 10:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"9";"4";"710300"
"2016/11/11 10:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"2";"1";"71204"
"2016/11/11 10:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"221";"87";"72207"
"2016/11/11 10:00:00";"India (Republic of)";"VECL VODAFONE (MAHARASHTRA GOA) (IN)";"MOVISTAR (PE)";"2";"1";"40427"
"2016/11/11 10:00:00";"Cyprus (Republic of)";"CYTA (CY)";"MOVISTAR (PE)";"6";"1";"28001"
"2016/11/11 10:00:00";"Guatemala (Republic of)";"COMCEL - TIGO (GT)";"MOVISTAR (PE)";"1";"1";"70402"
"2016/11/11 10:00:00";"Indonesia (Republic of)";"TELKOMSEL (ID)";"MOVISTAR (PE)";"1";"1";"51010"
"2016/11/11 10:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"9";"3";"46002"
"2016/11/11 10:00:00";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"MOVISTAR (PE)";"3640";"1153";"20404"
"2016/11/11 10:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"165";"46";"26207"
"2016/11/11 09:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"226";"115";"73001"
"2016/11/11 09:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"651";"271";"73002"
"2016/11/11 09:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"10";"2";"21405"
"2016/11/11 09:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"25289";"8313";"21407"
"2016/11/11 09:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"22";"6";"21401"
"2016/11/11 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"45";"23";"72411"
"2016/11/11 09:00:00";"Brazil";"TIM (SAO PAULO) (BR)";"MOVISTAR (PE)";"9";"2";"72403"
"2016/11/11 09:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"6";"4";"302220"
"2016/11/11 09:00:00";"Jersey";"JERSEY TELECOMS (JE)";"MOVISTAR (PE)";"1";"1";"23450"
"2016/11/11 09:00:00";"Mexico";"IUSACELL (MX)";"MOVISTAR (PE)";"5";"3";"334050"
"2016/11/11 09:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"1";"1";"23203"
"2016/11/11 09:00:00";"Belgium";"BASE (BE)";"MOVISTAR (PE)";"2";"1";"20620"
"2016/11/11 09:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"6";"4";"74001"
"2016/11/11 09:00:00";"Ukraine";"ASTELIT (UA)";"MOVISTAR (PE)";"13";"3";"25506"
"2016/11/11 09:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"21";"7";"732123"
"2016/11/11 09:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"19";"3";"71204"
