"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/13 06:00:00";"Aruba";"SETAR GSM (AW)";"MOVISTAR (PE)";"15";"4";"36301"
"2016/12/13 06:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"4";"3";"22299"
"2016/12/13 06:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"10";"7";"22210"
"2016/12/13 06:00:00";"Japan";"KDDI (JP)";"MOVISTAR (PE)";"2";"2";"44050"
"2016/12/13 06:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"17";"8";"44010"
"2016/12/13 06:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"28200";"10377";"21407"
"2016/12/13 06:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"3";"3";"21401"
"2016/12/13 06:00:00";"Brazil";"VIVO BRATC (BR)";"MOVISTAR (PE)";"7";"6";"72423"
"2016/12/13 06:00:00";"Canada";"VIDEOTRON (CA)";"MOVISTAR (PE)";"2";"2";"302500"
"2016/12/13 06:00:00";"Turkey";"VODAFONE (TR)";"MOVISTAR (PE)";"1";"1";"28602"
"2016/12/13 06:00:00";"Denmark";"TDC MOBIL (DK)";"MOVISTAR (PE)";"2";"2";"23801"
"2016/12/13 06:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"18";"18";"74001"
"2016/12/13 06:00:00";"Finland";"DNA FINLAND (FI)";"MOVISTAR (PE)";"1";"1";"24412"
"2016/12/13 06:00:00";"Colombia";"MOVISTAR (CO)";"MOVISTAR (PE)";"31";"14";"732123"
"2016/12/13 06:00:00";"Czech Republic";"O2 (CZ)";"MOVISTAR (PE)";"1";"1";"23002"
"2016/12/13 06:00:00";"Czech Republic";"VODAFONE (CZ)";"MOVISTAR (PE)";"4";"2";"23003"
"2016/12/13 06:00:00";"Czech Republic";"RADIOMOBIL T-MOBILE (CZ)";"MOVISTAR (PE)";"1";"1";"23001"
"2016/12/13 06:00:00";"Israel (State of)";"ORANGE (IL)";"MOVISTAR (PE)";"5";"3";"42501"
"2016/12/13 06:00:00";"Russian Federation";"MTS (RU)";"MOVISTAR (PE)";"1";"1";"25001"
"2016/12/13 06:00:00";"Poland (Republic of)";"T-MOBILE (PL)";"MOVISTAR (PE)";"4";"2";"26002"
"2016/12/13 06:00:00";"El Salvador (Republic of)";"MOVISTAR (SV)";"MOVISTAR (PE)";"1";"1";"70604"
"2016/12/13 06:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"10";"6";"20416"
"2016/12/13 06:00:00";"United Kingdom of Great Britain and Northern Ireland";"VODAFONE (GB)";"MOVISTAR (PE)";"6";"6";"23415"
"2016/12/13 07:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"832";"352";"73002"
"2016/12/13 07:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"6";"1";"21405"
"2016/12/13 07:00:00";"France";"BOUYGUES TELECOM (FR)";"MOVISTAR (PE)";"25";"7";"20820"
"2016/12/13 07:00:00";"Mexico";"NEXTEL (MX)";"MOVISTAR (PE)";"1";"1";"33409"
"2016/12/13 07:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"112";"32";"334030"
"2016/12/13 07:00:00";"Sweden";"TELENOR (SE)";"MOVISTAR (PE)";"75";"66";"24008"
"2016/12/13 07:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"4";"1";"23205"
"2016/12/13 07:00:00";"Belgium";"BASE (BE)";"MOVISTAR (PE)";"11";"2";"20620"
"2016/12/13 07:00:00";"Romania";"VODAFONE (RO)";"MOVISTAR (PE)";"1";"1";"22601"
"2016/12/13 07:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"3";"3";"26806"
"2016/12/13 07:00:00";"Dominican Republic";"ORANGE (DO)";"MOVISTAR (PE)";"2";"1";"37001"
"2016/12/13 07:00:00";"India (Republic of)";"TATA DOCOMO (RO WB) (IN)";"MOVISTAR (PE)";"3";"1";"40441"
"2016/12/13 07:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"3";"1";"40492"
"2016/12/13 07:00:00";"India (Republic of)";"TATA DOCOMO (GUJARAT) (IN)";"MOVISTAR (PE)";"1";"1";"405030"
"2016/12/13 07:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"16";"11";"46000"
"2016/12/13 07:00:00";"Philippines (Republic of the)";"SMART (PH)";"MOVISTAR (PE)";"19";"12";"51503"
"2016/12/13 07:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"42";"12";"74807"
"2016/12/13 07:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"7";"3";"23420"
"2016/12/13 07:00:00";"United Kingdom of Great Britain and Northern Ireland";"VODAFONE (GB)";"MOVISTAR (PE)";"7";"4";"23415"
"2016/12/13 07:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"MOVISTAR (PE)";"1";"1";"50502"
"2016/12/13 06:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"952";"416";"73002"
"2016/12/13 06:00:00";"Brazil";"TIM (RIO NORTE) (BR)";"MOVISTAR (PE)";"1";"1";"72402"
"2016/12/13 06:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"12";"6";"20810"
"2016/12/13 06:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"139";"76";"20801"
"2016/12/13 06:00:00";"Jersey";"JERSEY TELECOMS (JE)";"MOVISTAR (PE)";"2";"1";"23450"
"2016/12/13 06:00:00";"Sweden";"TELENOR (SE)";"MOVISTAR (PE)";"90";"71";"24008"
"2016/12/13 06:00:00";"Taiwan";"CHUNGHWA TELECOM (TW)";"MOVISTAR (PE)";"1";"1";"46692"
"2016/12/13 06:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"27";"11";"20610"
"2016/12/13 06:00:00";"Ireland";"VODAFONE (IE)";"MOVISTAR (PE)";"1";"1";"27201"
"2016/12/13 06:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"100";"44";"732111"
"2016/12/13 06:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"3";"2";"26806"
"2016/12/13 06:00:00";"Thailand";"AWN (TH)";"MOVISTAR (PE)";"1";"1";"52003"
